Char,Sentiment_score,Unicode_name
👈,0.424,WHITE_LEFT_POINTING_BACKHAND_INDEX
🌹,0.600,ROSE
🙆,0.500,FACE_WITH_OK_GESTURE
➜,0.162,HEAVY_ROUND-TIPPED_RIGHTWARDS_ARROW
👻,0.228,GHOST
💰,0.251,MONEY_BAG
🍻,0.512,CLINKING_BEER_MUGS
🙅,-0.202,FACE_WITH_NO_GOOD_GESTURE
🌞,0.558,SUN_WITH_FACE
🍁,0.482,MAPLE_LEAF
⭐,0.580,WHITE_MEDIUM_STAR
▪,0.198,BLACK_SMALL_SQUARE
🎀,0.629,RIBBON
━,0.176,BOX_DRAWINGS_HEAVY_HORIZONTAL
☷,0.064,TRIGRAM_FOR_EARTH
🐷,0.368,PIG_FACE
🙉,0.333,HEAR-NO-EVIL_MONKEY
🌺,0.549,HIBISCUS
💅,0.388,NAIL_POLISH
🐶,0.576,DOG_FACE
🌚,0.464,NEW_MOON_WITH_FACE
👽,0.315,EXTRATERRESTRIAL_ALIEN
🎤,0.476,MICROPHONE
👭,0.463,TWO_WOMEN_HOLDING_HANDS
🎧,0.414,HEADPHONE
👆,0.326,WHITE_UP_POINTING_BACKHAND_INDEX
🍸,0.539,COCKTAIL_GLASS
🍷,0.393,WINE_GLASS
®,0.279,REGISTERED_SIGN
🍉,0.597,WATERMELON
😇,0.587,SMILING_FACE_WITH_HALO
☑,0.101,BALLOT_BOX_WITH_CHECK
🏃,0.406,RUNNER
😿,-0.372,CRYING_CAT_FACE
│,0.343,BOX_DRAWINGS_LIGHT_VERTICAL
💣,0.007,BOMB
🍺,0.493,BEER_MUG
▶,0.209,BLACK_RIGHT-POINTING_TRIANGLE
😲,-0.068,ASTONISHED_FACE
🎸,0.516,GUITAR
🍹,0.659,TROPICAL_DRINK
💫,0.500,DIZZY_SYMBOL
📚,0.336,BOOKS
😶,-0.142,FACE_WITHOUT_MOUTH
🌷,0.538,TULIP
💝,0.644,HEART_WITH_RIBBON
💨,0.381,DASH_SYMBOL
🏈,0.530,AMERICAN_FOOTBALL
💍,0.478,RING
☔,0.289,UMBRELLA_WITH_RAIN_DROPS
👸,0.605,PRINCESS
🇪,0.616,REGIONAL_INDICATOR_SYMBOL_LETTER_E
░,-0.045,LIGHT_SHADE
🍩,0.382,DOUGHNUT
👾,0.361,ALIEN_MONSTER
☁,0.308,CLOUD
🌻,0.570,SUNFLOWER
😵,0.085,DIZZY_FACE
📒,0.038,LEDGER
↿,0.648,UPWARDS_HARPOON_WITH_BARB_LEFTWARDS
🐯,0.476,TIGER_FACE
👼,0.333,BABY_ANGEL
🍔,0.277,HAMBURGER
😸,0.410,GRINNING_CAT_FACE_WITH_SMILING_EYES
👶,0.434,BABY
↾,0.646,UPWARDS_HARPOON_WITH_BARB_RIGHTWARDS
💐,0.735,BOUQUET
🌊,0.500,WATER_WAVE
🍦,0.459,SOFT_ICE_CREAM
🍓,0.670,STRAWBERRY
👇,0.247,WHITE_DOWN_POINTING_BACKHAND_INDEX
💆,0.221,FACE_MASSAGE
🍴,0.537,FORK_AND_KNIFE
😧,-0.063,ANGUISHED_FACE
🇸,0.511,REGIONAL_INDICATOR_SYMBOL_LETTER_S
😮,0.269,FACE_WITH_OPEN_MOUTH
▓,0.011,DARK_SHADE
🚫,-0.440,NO_ENTRY_SIGN
😽,0.571,KISSING_CAT_FACE_WITH_CLOSED_EYES
🌈,0.516,RAINBOW
🙀,0.330,WEARY_CAT_FACE
⚠,-0.066,WARNING_SIGN
🎮,0.427,VIDEO_GAME
╯,-0.011,BOX_DRAWINGS_LIGHT_ARC_UP_AND_LEFT
🍆,0.402,AUBERGINE
🍰,0.448,SHORTCAKE
✓,0.287,CHECK_MARK
👐,-0.023,OPEN_HANDS_SIGN
