Char,Sentiment_score,Unicode_name
╣,0.000,BOX_DRAWINGS_DOUBLE_VERTICAL_AND_LEFT
◤,0.750,BLACK_UPPER_LEFT_TRIANGLE
○,0.455,WHITE_CIRCLE
🍼,0.455,BABY_BOTTLE
📀,0.091,DVD
🚛,-0.182,ARTICULATED_LORRY
📓,0.182,NOTEBOOK
☉,0.182,SUN
💴,-0.182,BANKNOTE_WITH_YEN_SIGN
┼,0.000,BOX_DRAWINGS_LIGHT_VERTICAL_AND_HORIZONTAL
🐃,0.000,WATER_BUFFALO
➰,-0.091,CURLY_LOOP
🔌,-0.091,ELECTRIC_PLUG
🍄,0.000,MUSHROOM
📕,0.182,CLOSED_BOOK
📣,0.364,CHEERING_MEGAPHONE
🚓,0.273,POLICE_CAR
🐗,0.455,BOAR
↪,0.091,RIGHTWARDS_ARROW_WITH_HOOK
⛳,0.636,FLAG_IN_HOLE
┻,-0.364,BOX_DRAWINGS_HEAVY_UP_AND_HORIZONTAL
┛,0.545,BOX_DRAWINGS_HEAVY_UP_AND_LEFT
┃,0.364,BOX_DRAWINGS_HEAVY_VERTICAL
👱,0.100,PERSON_WITH_BLOND_HAIR
⏳,0.000,HOURGLASS_WITH_FLOWING_SAND
💺,0.200,SEAT
🏇,-0.100,HORSE_RACING
☻,0.200,BLACK_SMILING_FACE
📞,0.400,TELEPHONE_RECEIVER
Ⓐ,-0.100,CIRCLED_LATIN_CAPITAL_LETTER_A
🌉,0.500,BRIDGE_AT_NIGHT
🚩,-0.200,TRIANGULAR_FLAG_ON_POST
✎,0.500,LOWER_RIGHT_PENCIL
📃,0.400,PAGE_WITH_CURL
🏨,0.200,HOTEL
📌,-0.400,PUSHPIN
♎,-0.100,LIBRA
💷,0.400,BANKNOTE_WITH_POUND_SIGN
🚄,0.500,HIGH-SPEED_TRAIN
▲,0.500,BLACK_UP-POINTING_TRIANGLE
⛵,0.500,SAILBOAT
🔸,0.200,SMALL_ORANGE_DIAMOND
⌛,0.100,HOURGLASS
🚜,0.700,TRACTOR
🐆,0.300,LEOPARD
👒,0.200,WOMANS_HAT
❕,0.200,WHITE_EXCLAMATION_MARK_ORNAMENT
🔛,0.400,ON_WITH_EXCLAMATION_MARK_WITH_LEFT_RIGHT_ARROW_ABOVE
♢,0.300,WHITE_DIAMOND_SUIT
🇲,0.400,REGIONAL_INDICATOR_SYMBOL_LETTER_M
❅,0.600,TIGHT_TRIFOLIATE_SNOWFLAKE
👝,0.333,POUCH
✞,0.333,SHADOWED_WHITE_LATIN_CROSS
◡,0.222,LOWER_HALF_CIRCLE
🎋,0.444,TANABATA_TREE
👥,0.222,BUSTS_IN_SILHOUETTE
📵,0.111,NO_MOBILE_PHONES
🐡,0.222,BLOWFISH
◆,0.556,BLACK_DIAMOND
🏯,0.111,JAPANESE_CASTLE
☂,0.000,UMBRELLA
🔭,0.333,TELESCOPE
🎪,0.222,CIRCUS_TENT
🐜,0.444,ANT
♌,0.556,LEO
☐,-0.667,BALLOT_BOX
👷,0.222,CONSTRUCTION_WORKER
↳,0.000,DOWNWARDS_ARROW_WITH_TIP_RIGHTWARDS
🔈,0.222,SPEAKER
📄,0.667,PAGE_FACING_UP
📍,0.111,ROUND_PUSHPIN
🚐,0.556,MINIBUS
🚔,0.000,ONCOMING_POLICE_CAR
🌋,0.444,VOLCANO
📡,0.222,SATELLITE_ANTENNA
⏩,0.111,BLACK_RIGHT-POINTING_DOUBLE_TRIANGLE
🚳,0.667,NO_BICYCLES
✘,0.556,HEAVY_BALLOT_X
۞,0.000,ARABIC_START_OF_RUB_EL_HIZB
☾,0.000,LAST_QUARTER_MOON
🅰,0.222,NEGATIVE_SQUARED_LATIN_CAPITAL_LETTER_A
📥,0.000,INBOX_TRAY
🇼,0.333,REGIONAL_INDICATOR_SYMBOL_LETTER_W
┓,0.444,BOX_DRAWINGS_HEAVY_DOWN_AND_LEFT
┣,0.444,BOX_DRAWINGS_HEAVY_VERTICAL_AND_RIGHT
Ⓛ,0.333,CIRCLED_LATIN_CAPITAL_LETTER_L
Ⓔ,0.333,CIRCLED_LATIN_CAPITAL_LETTER_E
🔦,0.000,ELECTRIC_TORCH
👤,0.500,BUST_IN_SILHOUETTE
🚁,0.125,HELICOPTER
🎠,0.375,CAROUSEL_HORSE
🐁,-0.250,MOUSE
📗,0.125,GREEN_BOOK
┐,-0.125,BOX_DRAWINGS_LIGHT_DOWN_AND_LEFT
☮,0.000,PEACE_SYMBOL
♂,0.125,MALE_SIGN
◞,0.000,LOWER_RIGHT_QUADRANT_CIRCULAR_ARC
📯,-0.125,POSTAL_HORN
🔩,0.125,NUT_AND_BOLT
👢,0.500,WOMANS_BOOTS
◂,0.250,BLACK_LEFT-POINTING_SMALL_TRIANGLE
📰,0.250,NEWSPAPER
📶,0.250,ANTENNA_WITH_BARS
🚥,0.000,HORIZONTAL_TRAFFIC_LIGHT
🌄,0.125,SUNRISE_OVER_MOUNTAINS
🗾,0.250,SILHOUETTE_OF_JAPAN
🔶,0.250,LARGE_ORANGE_DIAMOND
🏤,0.250,EUROPEAN_POST_OFFICE
🎩,0.250,TOP_HAT
Ⓜ,0.250,CIRCLED_LATIN_CAPITAL_LETTER_M
🔧,-0.375,WRENCH
🐅,0.125,TIGER
♮,0.125,MUSIC_NATURAL_SIGN
🅾,-0.125,NEGATIVE_SQUARED_LATIN_CAPITAL_LETTER_O
🔄,0.000,ANTICLOCKWISE_DOWNWARDS_AND_UPWARDS_OPEN_CIRCLE_ARROWS
☄,0.000,COMET
☨,0.000,CROSS_OF_LORRAINE
